hub,category,sku,shipped_qty,avg_shipped_qty,current_stock,stock_month,stock_turn,sd_shipped_qty,mode,leg_days,wh_days,leadtime_days,handling_cost,leadtime_days_sd,service_level,holding_cost_per_unit_year,lat,lng,color,safety_stock,eoq,rop,days_to_rop,recommended_mode,rop_date,actual_eoq,expected_pull_next_90d,console_support
SHENTON,B,SKU_BO,78832,25376.0,25376,1.931398417,6.213114754,2537.6,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,2912,45056,16252,10.94369436,Air,12/1/2023,45056.0,45056.0,False
SHENTON,B,SKU_BP,75200,2400.0,2400,0.191489362,62.66666667,240.0,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,693,9798,5030,0.0,Air,2/1/2023,9798.0,9798.0,False
SHENTON,B,SKU_BP,75200,2400.0,2400,0.191489362,62.66666667,240.0,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,275,13856,1537,10.94463792,Air,12/1/2023,13856.0,13856.0,False
SHENTON,B,SKU_BQ,75800,2400.0,2400,0.189973615,63.16666667,240.0,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,693,9798,5030,0.0,Air,2/1/2023,9798.0,9798.0,False
SHENTON,B,SKU_BQ,75800,2400.0,2400,0.189973615,63.16666667,240.0,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,275,13856,1537,10.94463792,Air,12/1/2023,13856.0,13856.0,False
SHENTON,B,SKU_BR,74560,2840.0,2840,0.228540773,52.50704225,284.0,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,820,10658,5952,0.0,Air,2/1/2023,10658.0,10658.0,False
SHENTON,B,SKU_BR,74560,2840.0,2840,0.228540773,52.50704225,284.0,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,326,15073,1819,10.94231585,Air,12/1/2023,15073.0,15073.0,False
SHENTON,B,SKU_BS,82430,28710.0,28710,2.089773141,5.742250087,2871.0,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,8287,33888,60166,0.0,Air,2/1/2023,67776.0,67776.0,False
SHENTON,B,SKU_BS,82430,28710.0,28710,2.089773141,5.742250087,2871.0,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,3295,47925,18387,10.94396207,Air,12/1/2023,47925.0,47925.0,False
SHENTON,B,SKU_BT,80210,28710.0,28710,2.147612517,5.587600139,2871.0,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,8287,33888,60166,0.0,Air,2/1/2023,67776.0,67776.0,False
SHENTON,B,SKU_BT,80210,28710.0,28710,2.147612517,5.587600139,2871.0,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,3295,47925,18387,10.94396207,Air,12/1/2023,47925.0,47925.0,False
SHENTON,B,SKU_BU,73400,0.0,0,0.0,0.0,0.0,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,0,0,0,0.0,Air,2/1/2023,,0.0,False
SHENTON,B,SKU_BU,73400,0.0,0,0.0,0.0,0.0,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,0,0,0,0.0,Air,2/1/2023,,0.0,False
SHENTON,B,SKU_BB,145000,224000.0,224000,9.268965517,1.294642857,22400.0,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,64653,94657,469424,0.0,Air,2/1/2023,473285.0,473285.0,False
SHENTON,B,SKU_BB,145000,224000.0,224000,9.268965517,1.294642857,22400.0,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,25708,133866,143459,10.94386793,Air,12/1/2023,267732.0,267732.0,False
SHENTON,B,SKU_BV,139000,131000.0,131000,5.654676259,2.122137405,13100.0,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,37810,72388,274528,0.0,Air,2/1/2023,289552.0,289552.0,False
SHENTON,B,SKU_BV,139000,131000.0,131000,5.654676259,2.122137405,13100.0,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,15035,102372,83899,10.94361173,Air,12/1/2023,102372.0,102372.0,True
SHENTON,B,SKU_BA,81900,87000.0,87000,6.373626374,1.882758621,8700.0,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,25111,58992,182321,0.0,Air,2/1/2023,235968.0,235968.0,False
SHENTON,B,SKU_BA,81900,87000.0,87000,6.373626374,1.882758621,8700.0,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,9985,83427,55719,10.94367583,Air,12/1/2023,83427.0,83427.0,True
SHENTON,B,SKU_BD,164000,0.0,0,0.0,0.0,0.0,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,0,0,0,0.0,Air,2/1/2023,,96996.0,False
SHENTON,B,SKU_BD,164000,0.0,0,0.0,0.0,0.0,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,0,0,0,0.0,Air,2/1/2023,,47329.0,False
SHENTON,B,SKU_BW,118132,20804.0,20804,1.056648495,11.35666218,2080.4,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,6005,28847,43598,0.0,Air,2/1/2023,57694.0,57694.0,False
SHENTON,B,SKU_BW,118132,20804.0,20804,1.056648495,11.35666218,2080.4,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,2388,40796,13324,10.94350894,Air,12/1/2023,40796.0,40796.0,False
SHENTON,B,SKU_AR,128300,74513.0,74513,3.484629774,3.443694389,7451.3,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,21507,54594,156153,0.0,Air,2/1/2023,163782.0,264753.0,False
SHENTON,B,SKU_AR,128300,74513.0,74513,3.484629774,3.443694389,7451.3,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,8552,77208,47722,10.94356243,Air,12/1/2023,77208.0,126477.0,False
